Ligand SMILES,activity_class
CCSc1cnc(cn1)C(=O)Nc1cccc(c1)[C@]1(C)CCSC(N)=N1,moderately_active
C[C@]1(CCSC(N)=N1)c1cc(NC(=O)CCc2ccc(O)c(O)c2)ccc1F,moderately_active
COc1nc(nc(C)c1F)N1C[C@H]2C(=O)N(C)C(=N)N[C@]2(C1)c1ccc(F)cc1F,moderately_active
COc1nc(nc(C)c1F)N1C[C@H]2C(=O)N(C)C(=N)N[C@]2(C1)c1cc(F)ccc1Cl,moderately_active
COc1nc(nc(C)c1F)N1C[C@H]2C(=O)N(C)C(=N)N[C@]2(C1)c1cc(Cl)ccc1F,moderately_active
Nc1ccc2ccccc2n1,inactive
Nc1cccc(CCc2ccccc2)n1,inactive
Nc1cccc(CCc2ccc3cc[nH]c3c2)n1,inactive
COc1cccc(c1)-c1cccc(CCc2cccc(N)n2)c1,inactive
Nc1ncccc1NCc1ccccc1,inactive
Nc1ncccc1NCc1cccc(c1)-c1cccnc1,inactive
COc1cncc(c1)-c1cccc(CNc2cccnc2N)c1,inactive
CCCOc1cncc(c1)-c1cccc(CNc2cccnc2N)c1,inactive
Nc1ncccc1NCc1cccc(c1)-c1ccc2cc[nH]c2c1,moderately_active
Nc1ncccc1NCc1cc(ccc1OCc1ccccc1)-c1ccc2cc[nH]c2c1,moderately_active
Nc1ncccc1NCc1cc(ccc1OCc1ccccn1)-c1ccc2cc[nH]c2c1,moderately_active
Nc1nccc2ccccc12,
Nc1ccc2ccccc2n1,
Nc1ncccc1NCc1ccccc1,inactive
Fc1ccc(CC2CCNCC2)cc1,
Cc1ccc(C)c(OC[C@@H](O)CN2CCOCC2)c1,inactive
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)NCC(C)C,moderately_active
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@@H](O)CN[C@@H](C)C(=O)NCC(C)C,inactive
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@H](C)C(=O)NCC(C)C,moderately_active
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H](C)C(=O)NCC(C)C,moderately_active
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@H](C)C(=O)NCC(C)C,moderately_active
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC(C)(C)C(=O)NCC(C)C,moderately_active
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1ccccc1,moderately_active
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(I)c1,very_active
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(OC)c1,moderately_active
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccncc1,moderately_active
CC(C)[C@H](NC(=O)CC[C@H](O)[C@@H]1CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(=O)NCc1ccccc1,moderately_active
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(=O)NCc1ccccc1,moderately_active
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(=O)NCc1ccncc1,moderately_active
